movieId,name,genres,year.x,budget,company,country,director,genre,gross,rating,released,runtime,score,star,votes,writer,year.y,Drama,Romance,Thriller,Comedy,Adventure,Children,Action,Fantasy,Horror,Crime,Sci-Fi,Mystery,Western,War,IMAX,Animation,Musical,Film-Noir,(no genres listed),Mean Rating,Var Rating,Mean Count,PCA 1,PCA 2,PCA 3,PCA 4,PCA 5,PCA 6,PCA 7,PCA 8,PCA 9,PCA 10,PCA 11,PCA 12,PCA 13
14,Nixon,Drama,1995,50000000,Cinergi Pictures Entertainment,USA,Oliver Stone,Biography,13560960,R,1/5/96,192,7.1,Anthony Hopkins,25426,Stephen J. Rivele,1995,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3.428999708,0.908041445,301.2503656,-1.233774263,-0.209673314,-0.474476735,0.785145948,-0.942871984,-0.522756417,0.505787216,0.36224166,-1.085112161,-0.379984165,0.590911086,0.087228672,-0.110298575
15,Cutthroat Island,Action|Adventure|Romance,1995,98000000,Beckner/Gorman Productions,USA,Renny Harlin,Action,10017322,PG-13,12/22/95,124,5.6,Geena Davis,22527,Michael Frost Beckner,1995,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2.730976538,1.189972595,547.8303741,2.156099955,0.90135492,-0.095488652,-0.462675321,-0.512365794,0.26209876,0.300828658,0.403422808,0.628196379,0.330495914,-0.235287951,0.274689095,0.09389127
16,Casino,Crime|Drama,1995,52000000,Universal Pictures,France,Martin Scorsese,Crime,42438300,R,11/22/95,178,8.2,Robert De Niro,367532,Nicholas Pileggi,1995,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3.802362391,0.767755712,380.496669,-3.093747615,1.51955658,0.873508037,2.241085636,0.508334512,-0.074935157,0.250076068,0.318751933,0.948493197,-0.734834236,-0.294489077,-0.39247802,0.016751034
17,Sense and Sensibility,Drama|Romance,1995,16000000,Columbia Pictures Corporation,USA,Ang Lee,Drama,43182776,PG,1/26/96,136,7.7,Emma Thompson,84237,Jane Austen,1995,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3.950126263,0.936160629,236.9112903,-0.724239754,-0.763904839,-2.224804582,-0.257060188,-0.358705231,0.415232261,-0.445064358,-0.931593473,-0.085458204,1.894374768,-0.20757068,-0.134056776,0.360308716
18,Four Rooms,Comedy,1995,4000000,Miramax,USA,Allison Anders,Comedy,4301331,R,12/25/95,98,6.7,Tim Roth,83723,Allison Anders,1995,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3.412070344,1.072775614,477.7079137,-0.024619172,0.001473992,1.102383729,0.663457356,0.697784774,0.513327788,-0.358920993,0.203236618,-0.024294122,-0.415278091,0.4134936,-0.889326811,0.533169707
19,Ace Ventura: When Nature Calls,Comedy,1995,30000000,Morgan Creek Productions,USA,Steve Oedekerk,Adventure,108385533,PG-13,11/10/95,90,6.3,Jim Carrey,172305,Jack Bernstein,1995,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2.642014209,1.358564295,328.7252037,1.793466799,0.398183567,0.482222269,0.220171107,1.659130771,0.758050975,0.639269069,0.780062971,-1.065339421,0.018484253,0.445832939,0.238158229,1.269001059
20,Money Train,Action|Comedy|Crime|Drama|Thriller,1995,68000000,Columbia Pictures,USA,Joseph Ruben,Action,35324232,R,11/22/95,110,5.6,Wesley Snipes,34091,Doug Richardson,1995,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2.894482611,0.879082715,465.3250322,1.703158881,0.494331344,0.098252415,0.80885597,-0.382591208,0.388870063,-0.061101277,0.754160811,0.651065885,-0.180082777,-0.468508177,0.247517925,0.201752921
21,Get Shorty,Comedy|Crime|Thriller,1995,30250000,Metro-Goldwyn-Mayer (MGM),USA,Barry Sonnenfeld,Comedy,72077000,R,10/20/95,105,6.9,Gene Hackman,66364,Elmore Leonard,1995,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3.568368419,0.856598828,315.1854547,-0.731434769,0.619517618,0.424927033,1.039502855,1.290450869,1.276495987,-0.119365241,0.505917103,-0.071951449,-0.533746308,0.105223475,-0.770382578,-0.013139697
22,Copycat,Crime|Drama|Horror|Mystery|Thriller,1995,20000000,Regency Enterprises,USA,Jon Amiel,Drama,32051917,R,10/27/95,123,6.6,Sigourney Weaver,45066,Ann Biderman,1995,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3.301140445,0.885799328,372.2736171,0.328327664,0.960881074,0.950294224,1.751631951,-1.135053717,0.557959466,-1.387322758,-0.835006725,-0.222588032,-0.164232256,0.185048968,0.192404621,-0.010980649
23,Assassins,Action|Crime|Thriller,1995,50000000,Warner Bros.,France,Richard Donner,Action,30306268,R,10/6/95,132,6.3,Sylvester Stallone,67317,Lilly Wachowski,1995,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3.158796962,0.916821468,475.7908027,1.423222308,0.950964619,0.603563967,1.281690153,-1.005563222,1.003518561,-0.114187754,1.10298015,0.965485409,-0.219036326,-0.387430421,0.243430336,-0.120172581
24,Powder,Drama|Sci-Fi,1995,9500000,Caravan Pictures,USA,Victor Salva,Drama,30862146,PG-13,10/27/95,111,6.6,Mary Steenburgen,25582,Victor Salva,1995,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3.179305843,1.13498411,371.0982483,0.459186408,0.35712008,-0.954640437,-1.08712678,-0.134227419,-1.742292779,-0.441338111,0.11841749,-0.033214632,-0.446922171,-0.230092911,0.275829187,0.079053385
26,Othello,Drama,1995,11000000,Castle Rock Entertainment,USA,Oliver Parker,Drama,2112951,R,1/19/96,123,6.9,Laurence Fishburne,7965,Oliver Parker,1995,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3.610138705,0.891978441,359.76321,-0.445960688,-0.322262018,-0.717718855,0.239889166,-0.453810199,-0.131624364,0.053348689,-0.246294614,-0.18690894,0.551186925,0.290237919,0.132382068,-0.062129921
29,The City of Lost Children,Adventure|Drama|Fantasy|Mystery|Sci-Fi,1995,18000000,Club d'Investissement M<8e>dia,France,Marc Caro,Fantasy,1513028,R,12/15/95,112,7.7,Ron Perlman,58437,Gilles Adrien,1995,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3.918794892,0.996048992,394.8074621,-2.927039668,0.616122539,1.537373464,-3.652348351,-0.094858704,0.780341831,-1.113241658,-0.398171647,0.379150657,0.006293086,0.848089218,-1.035437101,-0.292474855
31,Dangerous Minds,Drama,1995,23000000,Hollywood Pictures,USA,John N. Smith,Biography,84919401,R,8/11/95,99,6.4,Michelle Pfeiffer,40880,LouAnne Johnson,1995,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3.23758685,0.922024106,317.7244535,0.86572135,0.053626962,-1.160343258,0.436798343,0.238805309,-0.990589452,0.040505408,-0.223285772,0.342786714,-0.707801799,-0.203237519,-0.112506973,-0.575580887
32,Twelve Monkeys,Mystery|Sci-Fi|Thriller,1995,29000001,Universal Pictures,USA,Terry Gilliam,Mystery,57141459,R,1/5/96,129,8,Bruce Willis,500403,Chris Marker,1995,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3.890192539,0.761317067,262.75681,-3.392331591,2.361619926,1.501297939,-2.504434681,-0.363371917,-0.048309522,-2.336828054,0.208893995,-1.521910377,-1.097678346,0.094562194,-0.836818026,-0.039684309
36,Dead Man Walking,Crime|Drama,1995,11000000,Havoc,UK,Tim Robbins,Crime,39387284,R,2/2/96,122,7.6,Susan Sarandon,77349,Helen Prejean,1995,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3.928762263,0.812147566,267.4260071,-2.671235669,-0.147264033,-0.584445358,1.465417535,-0.427379506,-1.484310505,0.183302594,-0.202735726,-0.39025788,-0.32332509,0.603447723,1.22659021,0.601770095
39,Clueless,Comedy|Romance,1995,12000000,Paramount Pictures,USA,Amy Heckerling,Comedy,56631572,PG-13,7/19/95,97,6.8,Alicia Silverstone,136975,Amy Heckerling,1995,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3.416287132,0.978002624,325.1565835,1.255114835,-0.233978858,-1.164731642,0.411991629,1.925541799,0.243124285,-0.238691179,-0.510833841,-0.114535694,0.807041476,-0.486632959,-0.562038818,-1.836166685
42,Dead Presidents,Action|Crime|Drama,1995,10000000,Caravan Pictures,USA,Albert Hughes,Action,24200000,R,10/6/95,119,6.8,Larenz Tate,16395,Allen Hughes,1995,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3.048282443,0.901543441,605.6965649,-0.018741816,0.143206592,0.706700831,1.395325975,-0.064563905,-0.554182944,0.778348791,0.324018146,0.653674377,-0.526708206,-0.046364915,-0.330437938,-0.078419464
43,Restoration,Drama,1995,19000000,Avenue Pictures,USA,Michael Hoffman,Biography,4100000,R,2/2/96,117,6.7,Robert Downey Jr.,7894,Rose Tremain,1995,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3.466254218,0.884832288,405.4244469,-0.682348253,0.545194835,-1.353364684,-0.775380281,-0.741977175,0.06905611,-0.034642196,-0.222065409,-0.330871459,0.851878778,0.118458013,-1.009396275,0.136484847
44,Mortal Kombat,Action|Adventure|Fantasy,1995,18000000,New Line Cinema,USA,Paul W.S. Anderson,Action,70454098,PG-13,8/18/95,101,5.8,Christopher Lambert,87007,Ed Boon,1995,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2.631852191,1.292493797,371.5267216,1.928594363,1.98612826,0.45198661,-0.758379453,0.121993013,-0.412854913,0.778538236,0.538946355,1.053023143,0.372537955,-0.40926075,0.363865448,-0.021510848
45,To Die For,Comedy|Drama|Thriller,1995,20000000,Columbia Pictures Corporation,USA,Gus Van Sant,Comedy,21284514,R,10/6/95,106,6.8,Nicole Kidman,36974,Joyce Maynard,1995,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3.372723531,0.942792654,413.6671468,-0.57829488,-0.828637695,0.967733669,0.856917161,0.626216617,0.273213007,-0.245034799,0.076090325,-0.486788597,0.101727866,0.589056162,-0.027450414,-0.649192226
46,How to Make an American Quilt,Drama|Romance,1995,10000000,Universal Pictures,USA,Jocelyn Moorhouse,Comedy,23574130,PG-13,10/6/95,117,6.2,Winona Ryder,9152,Whitney Otto,1995,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3.268596281,0.9609127,400.134973,0.60620318,-0.692863708,-1.287829906,0.221351648,-0.223993145,-0.202584653,-0.936795889,-0.234463225,0.190457599,0.815027727,-0.309513982,-0.043430456,0.254850113
48,Pocahontas,Animation|Children|Drama|Musical|Romance,1995,55000000,Walt Disney Pictures,USA,Mike Gabriel,Animation,141600000,G,6/23/95,81,6.7,Mel Gibson,133708,Carl Binder,1995,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,2.963167869,1.15938489,331.9140482,1.415178683,-0.003864925,-1.660401062,-0.472173134,-0.299302526,0.511734264,0.344105043,-1.322463993,0.659238246,-0.420869559,1.069808935,0.484231692,-0.227303323
50,The Usual Suspects,Crime|Mystery|Thriller,1995,6000000,PolyGram Filmed Entertainment,USA,Bryan Singer,Crime,23341568,R,9/15/95,106,8.6,Kevin Spacey,814470,Christopher McQuarrie,1995,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4.291958829,0.621291423,250.1307977,-4.965710677,3.355352895,0.685688548,1.412830887,0.40869763,1.159521898,-1.86828371,-0.287208133,-0.034316287,-0.454944427,0.115028616,-0.726685964,0.759816705
52,Mighty Aphrodite,Comedy|Drama|Romance,1995,15000000,Sweetland Films,USA,Woody Allen,Comedy,6700000,R,11/10/95,95,7.1,Woody Allen,33697,Woody Allen,1995,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3.532890941,0.859406684,331.5808809,-1.384753805,-0.90539096,-0.591034031,0.129812819,0.852591176,0.177713957,-0.399119927,0.351371517,-0.381967693,-0.185154002,-0.156483819,0.549369832,0.491099514
54,The Big Green,Children|Comedy,1995,12000000,Caravan Pictures,USA,Holly Goldberg Sloan,Comedy,17725500,PG,9/29/95,100,5.5,Steve Guttenberg,7500,Holly Goldberg Sloan,1995,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2.848684211,1.182161955,497.518797,2.026971163,-0.649289733,-0.865380894,0.041309003,-0.082254715,0.276239769,0.162836921,-0.716575432,0.277650317,-0.888757542,0.268755172,0.232226747,-0.207659416
57,Home for the Holidays,Drama,1995,20000000,Paramount Pictures,USA,Jodie Foster,Comedy,17518220,PG-13,11/3/95,103,6.6,Holly Hunter,9567,Chris Radant,1995,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3.322332016,0.912767197,492.4063241,0.561423399,-1.064566526,-0.169309435,0.251281508,0.335286399,-0.035792832,-0.310452896,0.16475735,-0.037636073,-0.111606297,0.157486541,-0.095261556,0.221346681
60,The Indian in the Cupboard,Adventure|Children|Fantasy,1995,45000000,Columbia Pictures Corporation,USA,Frank Oz,Drama,35617599,PG,7/14/95,96,5.9,Hal Scardino,22044,Lynne Reid Banks,1995,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3.071240626,1.056207,341.7975266,1.301980208,-0.167973404,-0.894616769,-0.437811852,-0.259446727,0.04827839,0.360700124,-1.129262596,0.497597842,-0.373079119,0.814207103,0.082158423,-0.386188868
61,Eye for an Eye,Drama|Thriller,1996,20000000,Paramount Pictures,USA,John Schlesinger,Crime,26792700,R,1/12/96,101,6.1,Sally Field,10968,Erika Holzer,1996,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3.336308316,1.007183606,348.2713996,1.304938948,-0.134740036,0.50927222,1.416254401,-0.806230653,-0.344103938,-0.114572426,-0.163011602,0.349499366,0.105504447,0.404229636,0.472434226,0.044785823
62,Mr. Holland's Opus,Drama,1995,23000000,Hollywood Pictures,USA,Stephen Herek,Drama,82569971,PG,1/19/96,143,7.3,Richard Dreyfuss,31602,Patrick Sheane Duncan,1995,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3.746714329,0.970232268,243.4333662,-0.579665256,0.4574161,-2.308378643,0.106929907,0.429711171,-1.163777673,-0.124791015,-0.358983113,0.336360541,-0.69441412,-0.563530105,-0.291980918,0.057838781
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Comedy|Crime,1996,3800000,Island Pictures,USA,Paris Barclay,Comedy,20109115,R,1/12/96,89,6.6,Shawn Wayans,40789,Shawn Wayans,1996,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3.121537901,1.414406529,482.3050292,1.521845446,-0.273419055,0.476333237,0.331504629,1.941021144,0.70398942,0.818617056,0.968568819,-1.259316744,-0.078683045,0.316699547,-0.422392072,0.945205775
65,Bio-Dome,Comedy,1996,15000000,Motion Picture Corporation of America (MPCA),USA,Jason Bloom,Comedy,26757000,PG-13,1/12/96,88,4.4,Pauly Shore,22728,Adam Leff,1996,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2.399091999,1.45366093,403.9093713,2.178216907,0.349658779,0.462676075,-0.01205622,1.486820595,0.005929603,0.350078774,0.922945657,-1.168984728,0.286089523,0.222158778,0.238262873,0.859039203
66,Lawnmower Man 2: Beyond Cyberspace,Action|Sci-Fi|Thriller,1996,15000000,New Line Cinema,USA,Farhad Mann,Action,2409225,PG-13,1/12/96,93,2.4,Patrick Bergin,8315,Farhad Mann,1996,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2.160866203,1.335233911,371.7451663,2.412928371,0.671878039,0.548213463,-0.852588158,-0.564918182,-0.645010188,-0.2341723,0.620369107,-0.366638548,-0.174620331,-0.312811588,0.421697959,-0.055050676
69,Friday,Comedy,1995,3500000,New Line Cinema,USA,F. Gary Gray,Comedy,27467564,R,4/26/95,91,7.3,Ice Cube,82224,Ice Cube,1995,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3.550891317,1.070597844,483.9838988,0.131271994,0.439930292,0.183382827,0.714062452,1.999042193,0.490627411,0.838392978,0.726905103,-0.022931808,-0.622089682,-0.273845303,-0.669088417,0.169743957
70,From Dusk Till Dawn,Action|Comedy|Horror|Thriller,1996,19000000,Dimension Films,USA,Robert Rodriguez,Action,25753840,R,1/19/96,108,7.3,Harvey Keitel,236890,Robert Kurtzman,1996,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3.315466785,1.124305011,477.3318374,-0.210798023,1.890076108,2.30586217,0.89071724,1.5256132,-0.263868801,1.167665613,-0.402345026,0.892784364,0.348541023,-0.620401737,-0.729269453,0.373711198
71,Fair Game,Action,1995,50000000,Warner Bros.,USA,Andrew Sipes,Action,11534477,R,11/3/95,91,4.1,William Baldwin,10655,Paula Gosling,1995,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2.35431918,1.180593053,638.1354319,2.304653207,0.351406438,0.477790005,0.539837853,-0.300054051,-0.045948292,0.007458224,0.866199816,0.082753339,0.433761278,-0.19605034,0.615372769,0.196153604
