"","movieId","tagId","relevance","name","gross","budget","netrevenue","Oscar"
"29",5,808,0.904,"Father of the Bride Part II",76594000,3e+07,46594000,0
"30",5,901,0.9575,"Father of the Bride Part II",76594000,3e+07,46594000,0
"31",5,902,0.95625,"Father of the Bride Part II",76594000,3e+07,46594000,0
"32",6,19,0.9295,"Heat",2793214,1.7e+07,-14206786,0
"33",6,105,0.94275,"Heat",2793214,1.7e+07,-14206786,0
"34",6,268,0.98,"Heat",2793214,1.7e+07,-14206786,0
"35",6,465,0.9545,"Heat",2793214,1.7e+07,-14206786,0
"36",6,498,0.9665,"Heat",2793214,1.7e+07,-14206786,0
"37",6,536,0.918,"Heat",2793214,1.7e+07,-14206786,0
"38",7,849,0.982,"Sabrina",53672080,5.8e+07,-4327920,0
"39",7,863,0.9235,"Sabrina",53672080,5.8e+07,-4327920,0
"40",7,864,0.967,"Sabrina",53672080,5.8e+07,-4327920,0
"41",7,865,0.9535,"Sabrina",53672080,5.8e+07,-4327920,0
"42",8,22,0.94075,"Tom and Huck",23735802,0,23735802,0
"43",9,19,0.97775,"Sudden Death",20350171,3.5e+07,-14649829,0
"44",9,20,0.91025,"Sudden Death",20350171,3.5e+07,-14649829,0
"45",9,389,0.911,"Sudden Death",20350171,3.5e+07,-14649829,0
"46",9,447,0.97025,"Sudden Death",20350171,3.5e+07,-14649829,0
"47",9,525,0.90325,"Sudden Death",20350171,3.5e+07,-14649829,0
"48",9,609,0.96075,"Sudden Death",20350171,3.5e+07,-14649829,0
"49",10,1,0.9995,"GoldenEye",106600000,6e+07,46600000,0
"50",10,2,1,"GoldenEye",106600000,6e+07,46600000,0
"51",10,19,0.97275,"GoldenEye",106600000,6e+07,46600000,0
"52",10,151,0.999,"GoldenEye",106600000,6e+07,46600000,0
"53",10,195,0.93,"GoldenEye",106600000,6e+07,46600000,0
"54",10,361,0.9605,"GoldenEye",106600000,6e+07,46600000,0
"55",10,406,0.97825,"GoldenEye",106600000,6e+07,46600000,0
"56",10,896,0.95525,"GoldenEye",106600000,6e+07,46600000,0
"69",13,40,0.948,"Balto",11268750,0,11268750,0
"70",13,62,0.90375,"Balto",11268750,0,11268750,0
"71",13,63,0.971,"Balto",11268750,0,11268750,0
"72",13,64,0.9755,"Balto",11268750,0,11268750,0
"73",13,316,0.991,"Balto",11268750,0,11268750,0
"74",13,317,0.96525,"Balto",11268750,0,11268750,0
"75",13,589,0.9715,"Balto",11268750,0,11268750,0
"76",13,1007,0.977,"Balto",11268750,0,11268750,0
"77",14,133,0.977,"Nixon",13560960,5e+07,-36439040,0
"78",14,135,0.95475,"Nixon",13560960,5e+07,-36439040,0
"79",14,800,0.924,"Nixon",13560960,5e+07,-36439040,0
"80",14,811,0.9805,"Nixon",13560960,5e+07,-36439040,0
"81",14,1119,0.976,"Nixon",13560960,5e+07,-36439040,0
"82",15,19,0.978,"Cutthroat Island",10017322,9.8e+07,-87982678,0
"83",15,29,0.97575,"Cutthroat Island",10017322,9.8e+07,-87982678,0
"84",15,132,0.911,"Cutthroat Island",10017322,9.8e+07,-87982678,0
"85",15,784,0.9945,"Cutthroat Island",10017322,9.8e+07,-87982678,0
"86",15,1001,0.99325,"Cutthroat Island",10017322,9.8e+07,-87982678,0
"87",15,1005,0.9115,"Cutthroat Island",10017322,9.8e+07,-87982678,0
"88",15,1006,0.9165,"Cutthroat Island",10017322,9.8e+07,-87982678,0
"89",15,1043,0.9755,"Cutthroat Island",10017322,9.8e+07,-87982678,0
"90",15,1044,0.998,"Cutthroat Island",10017322,9.8e+07,-87982678,0
"91",16,187,0.992,"Casino",42438300,5.2e+07,-9561700,0
"92",16,258,0.925,"Casino",42438300,5.2e+07,-9561700,0
"93",16,423,0.9955,"Casino",42438300,5.2e+07,-9561700,0
"94",16,424,0.991,"Casino",42438300,5.2e+07,-9561700,0
"95",16,465,0.95175,"Casino",42438300,5.2e+07,-9561700,0
"96",16,469,0.9155,"Casino",42438300,5.2e+07,-9561700,0
"97",16,472,0.9405,"Casino",42438300,5.2e+07,-9561700,0
"98",16,510,0.90525,"Casino",42438300,5.2e+07,-9561700,0
"99",16,536,0.92725,"Casino",42438300,5.2e+07,-9561700,0
"100",16,595,0.9695,"Casino",42438300,5.2e+07,-9561700,0
"101",16,622,0.9955,"Casino",42438300,5.2e+07,-9561700,0
"102",16,634,0.9035,"Casino",42438300,5.2e+07,-9561700,0
"103",16,658,0.994,"Casino",42438300,5.2e+07,-9561700,0
"104",16,691,0.96475,"Casino",42438300,5.2e+07,-9561700,0
"105",16,741,0.99925,"Casino",42438300,5.2e+07,-9561700,0
"106",16,758,0.9485,"Casino",42438300,5.2e+07,-9561700,0
"107",16,981,0.9405,"Casino",42438300,5.2e+07,-9561700,0
"108",16,1084,0.96325,"Casino",42438300,5.2e+07,-9561700,0
"109",16,1085,0.98225,"Casino",42438300,5.2e+07,-9561700,0
"110",17,3,0.9805,"Sense and Sensibility",43182776,1.6e+07,27182776,0
"111",17,10,0.9145,"Sense and Sensibility",43182776,1.6e+07,27182776,0
"112",17,22,0.973,"Sense and Sensibility",43182776,1.6e+07,27182776,0
"113",17,259,0.9665,"Sense and Sensibility",43182776,1.6e+07,27182776,0
"114",17,574,0.93275,"Sense and Sensibility",43182776,1.6e+07,27182776,0
"115",17,606,0.932,"Sense and Sensibility",43182776,1.6e+07,27182776,0
"116",17,774,0.96625,"Sense and Sensibility",43182776,1.6e+07,27182776,0
"117",17,864,0.9535,"Sense and Sensibility",43182776,1.6e+07,27182776,0
"118",19,230,0.985,"Ace Ventura: When Nature Calls",108385533,3e+07,78385533,0
"119",19,300,0.97325,"Ace Ventura: When Nature Calls",108385533,3e+07,78385533,0
"120",19,332,0.97975,"Ace Ventura: When Nature Calls",108385533,3e+07,78385533,0
"121",19,417,0.903,"Ace Ventura: When Nature Calls",108385533,3e+07,78385533,0
"122",19,451,0.91075,"Ace Ventura: When Nature Calls",108385533,3e+07,78385533,0
"123",19,455,0.9905,"Ace Ventura: When Nature Calls",108385533,3e+07,78385533,0
"124",19,505,0.94325,"Ace Ventura: When Nature Calls",108385533,3e+07,78385533,0
"125",19,901,0.9565,"Ace Ventura: When Nature Calls",108385533,3e+07,78385533,0
"126",19,902,0.93075,"Ace Ventura: When Nature Calls",108385533,3e+07,78385533,0
"127",19,920,0.9845,"Ace Ventura: When Nature Calls",108385533,3e+07,78385533,0
"128",19,979,0.93675,"Ace Ventura: When Nature Calls",108385533,3e+07,78385533,0
"129",19,1071,0.94975,"Ace Ventura: When Nature Calls",108385533,3e+07,78385533,0
"130",20,19,0.94075,"Money Train",35324232,6.8e+07,-32675768,0
"131",21,658,0.90775,"Get Shorty",72077000,30250000,41827000,0
"132",22,300,0.9715,"Copycat",32051917,2e+07,12051917,0
"133",22,797,0.9105,"Copycat",32051917,2e+07,12051917,0
"134",22,903,0.99825,"Copycat",32051917,2e+07,12051917,0
"135",22,999,0.948,"Copycat",32051917,2e+07,12051917,0
"136",22,1000,0.968,"Copycat",32051917,2e+07,12051917,0
"137",23,19,0.9585,"Assassins",30306268,5e+07,-19693732,0
"138",23,81,0.99875,"Assassins",30306268,5e+07,-19693732,0
"139",23,82,0.9865,"Assassins",30306268,5e+07,-19693732,0
"140",23,83,0.98975,"Assassins",30306268,5e+07,-19693732,0
"141",23,195,0.9055,"Assassins",30306268,5e+07,-19693732,0
"142",23,447,0.93375,"Assassins",30306268,5e+07,-19693732,0
"143",23,510,0.9965,"Assassins",30306268,5e+07,-19693732,0
"144",23,512,0.97675,"Assassins",30306268,5e+07,-19693732,0
"145",23,997,0.93775,"Assassins",30306268,5e+07,-19693732,0
"146",24,1035,0.9175,"Powder",30862146,9500000,21362146,0
"157",26,912,0.996,"Othello",2112951,1.1e+07,-8887049,0
"158",27,26,0.952,"Now and Then",27400000,0,27400000,0
"159",27,203,0.907,"Now and Then",27400000,0,27400000,0
"160",27,235,0.98275,"Now and Then",27400000,0,27400000,0
"161",27,412,0.9595,"Now and Then",27400000,0,27400000,0
"162",27,439,0.97725,"Now and Then",27400000,0,27400000,0
"163",27,1062,0.9595,"Now and Then",27400000,0,27400000,0
"164",27,1116,0.94525,"Now and Then",27400000,0,27400000,0
"187",31,1010,0.94125,"Dangerous Minds",84919401,2.3e+07,61919401,0
"215",33,12,0.93375,"Wings of Courage",15054389,0,15054389,0
"223",35,107,0.9305,"Carrington",3242342,0,3242342,0
"224",35,613,0.95125,"Carrington",3242342,0,3242342,0
"225",35,846,0.9465,"Carrington",3242342,0,3242342,0
"226",36,107,0.941,"Dead Man Walking",39387284,1.1e+07,28387284,0
"227",36,238,0.91525,"Dead Man Walking",39387284,1.1e+07,28387284,0
"228",36,268,0.939,"Dead Man Walking",39387284,1.1e+07,28387284,0
"229",36,292,0.97275,"Dead Man Walking",39387284,1.1e+07,28387284,0
"230",36,293,0.99075,"Dead Man Walking",39387284,1.1e+07,28387284,0
"231",36,323,0.91175,"Dead Man Walking",39387284,1.1e+07,28387284,0
"232",36,465,0.9315,"Dead Man Walking",39387284,1.1e+07,28387284,0
"233",36,601,0.905,"Dead Man Walking",39387284,1.1e+07,28387284,0
"234",36,682,0.901,"Dead Man Walking",39387284,1.1e+07,28387284,0
"235",36,747,0.9635,"Dead Man Walking",39387284,1.1e+07,28387284,0
"236",36,844,0.93,"Dead Man Walking",39387284,1.1e+07,28387284,0
"239",38,278,0.923,"It Takes Two",344375,0,344375,0
"240",38,279,0.9365,"It Takes Two",344375,0,344375,0
"241",38,439,0.9085,"It Takes Two",344375,0,344375,0
"242",38,922,0.987,"It Takes Two",344375,0,344375,0
"243",38,1004,0.955,"It Takes Two",344375,0,344375,0
"244",39,201,0.952,"Clueless",56631572,1.2e+07,44631572,0
"245",39,439,0.98425,"Clueless",56631572,1.2e+07,44631572,0
"246",39,503,0.9855,"Clueless",56631572,1.2e+07,44631572,0
"247",39,1013,0.9935,"Clueless",56631572,1.2e+07,44631572,0
"248",39,1014,0.9975,"Clueless",56631572,1.2e+07,44631572,0
"249",39,1015,0.97575,"Clueless",56631572,1.2e+07,44631572,0
"250",39,1016,0.95025,"Clueless",56631572,1.2e+07,44631572,0
"251",39,1017,0.965,"Clueless",56631572,1.2e+07,44631572,0
"256",41,5,0.97175,"Richard III",2600000,0,2600000,0
"257",41,109,0.955,"Richard III",2600000,0,2600000,0
"258",41,380,0.90025,"Richard III",2600000,0,2600000,0
"259",41,858,0.939,"Richard III",2600000,0,2600000,0
"260",41,912,0.998,"Richard III",2600000,0,2600000,0
"261",42,105,0.9405,"Dead Presidents",24200000,1e+07,14200000,0
"262",42,268,0.91225,"Dead Presidents",24200000,1e+07,14200000,0
"263",42,498,0.94625,"Dead Presidents",24200000,1e+07,14200000,0
"264",42,1084,0.912,"Dead Presidents",24200000,1e+07,14200000,0
"265",43,3,0.937,"Restoration",4100000,1.9e+07,-14900000,0
"266",43,259,0.92175,"Restoration",4100000,1.9e+07,-14900000,0
"267",43,350,0.972,"Restoration",4100000,1.9e+07,-14900000,0
"268",43,508,0.948,"Restoration",4100000,1.9e+07,-14900000,0
"269",43,564,0.938,"Restoration",4100000,1.9e+07,-14900000,0
"270",43,608,0.909,"Restoration",4100000,1.9e+07,-14900000,0
"271",43,774,0.9725,"Restoration",4100000,1.9e+07,-14900000,0
"272",43,858,0.96175,"Restoration",4100000,1.9e+07,-14900000,0
"273",44,19,0.97175,"Mortal Kombat",70454098,1.8e+07,52454098,0
"274",44,24,0.9885,"Mortal Kombat",70454098,1.8e+07,52454098,0
"275",44,94,0.93725,"Mortal Kombat",70454098,1.8e+07,52454098,0
"276",44,112,0.9995,"Mortal Kombat",70454098,1.8e+07,52454098,0
"277",44,245,0.9775,"Mortal Kombat",70454098,1.8e+07,52454098,0
"278",44,389,0.9875,"Mortal Kombat",70454098,1.8e+07,52454098,0
"279",44,390,0.96875,"Mortal Kombat",70454098,1.8e+07,52454098,0
"280",44,592,0.9585,"Mortal Kombat",70454098,1.8e+07,52454098,0
"281",44,631,0.997,"Mortal Kombat",70454098,1.8e+07,52454098,0
"282",44,1074,0.99225,"Mortal Kombat",70454098,1.8e+07,52454098,0
"283",44,1075,0.9995,"Mortal Kombat",70454098,1.8e+07,52454098,0
"284",44,1077,0.99025,"Mortal Kombat",70454098,1.8e+07,52454098,0
"285",45,141,0.939,"To Die For",21284514,2e+07,1284514,0
"286",45,286,0.93175,"To Die For",21284514,2e+07,1284514,0
"287",45,289,0.9745,"To Die For",21284514,2e+07,1284514,0
"288",45,373,0.94275,"To Die For",21284514,2e+07,1284514,0
"289",45,733,0.962,"To Die For",21284514,2e+07,1284514,0
"290",46,107,0.93025,"How to Make an American Quilt",23574130,1e+07,13574130,0
"291",46,1116,0.9865,"How to Make an American Quilt",23574130,1e+07,13574130,0
"322",48,62,0.921,"Pocahontas",141600000,5.5e+07,86600000,0
"323",48,64,0.98475,"Pocahontas",141600000,5.5e+07,86600000,0
"324",48,186,0.96925,"Pocahontas",141600000,5.5e+07,86600000,0
"325",48,309,0.923,"Pocahontas",141600000,5.5e+07,86600000,0
"326",48,310,0.9955,"Pocahontas",141600000,5.5e+07,86600000,0
"327",48,543,0.962,"Pocahontas",141600000,5.5e+07,86600000,0
"328",48,693,0.98375,"Pocahontas",141600000,5.5e+07,86600000,0
"329",48,1007,0.9365,"Pocahontas",141600000,5.5e+07,86600000,0
"330",49,599,0.96675,"When Night Is Falling",1194152,0,1194152,0
"331",49,614,0.94375,"When Night Is Falling",1194152,0,1194152,0
"332",49,846,0.90025,"When Night Is Falling",1194152,0,1194152,0
"363",52,27,0.9785,"Mighty Aphrodite",6700000,1.5e+07,-8300000,0
"364",52,759,0.94975,"Mighty Aphrodite",6700000,1.5e+07,-8300000,0
"367",55,687,0.942,"Georgia",1110104,0,1110104,1
"368",55,923,0.9525,"Georgia",1110104,0,1110104,1
"370",57,335,0.97625,"Home for the Holidays",17518220,2e+07,-2481780,0
"371",57,735,0.92525,"Home for the Holidays",17518220,2e+07,-2481780,0
"372",57,858,0.973,"Home for the Holidays",17518220,2e+07,-2481780,0
"381",61,838,0.94725,"Eye for an Eye",26792700,2e+07,6792700,0
"382",61,850,0.9365,"Eye for an Eye",26792700,2e+07,6792700,0
"383",61,1070,0.96325,"Eye for an Eye",26792700,2e+07,6792700,0
"384",61,1082,0.9995,"Eye for an Eye",26792700,2e+07,6792700,0
"385",61,1083,0.9955,"Eye for an Eye",26792700,2e+07,6792700,0
"386",62,217,0.911,"Mr. Holland's Opus",82569971,2.3e+07,59569971,0
"387",62,646,0.952,"Mr. Holland's Opus",82569971,2.3e+07,59569971,0
"388",62,684,0.98875,"Mr. Holland's Opus",82569971,2.3e+07,59569971,0
"389",62,687,0.94975,"Mr. Holland's Opus",82569971,2.3e+07,59569971,0
"390",62,1010,0.913,"Mr. Holland's Opus",82569971,2.3e+07,59569971,0
"391",63,230,0.93975,"Don't Be a Menace to South Central While Drinking Your Juice in the Hood",20109115,3800000,16309115,0
"392",63,416,0.966,"Don't Be a Menace to South Central While Drinking Your Juice in the Hood",20109115,3800000,16309115,0
"393",63,417,0.9105,"Don't Be a Menace to South Central While Drinking Your Juice in the Hood",20109115,3800000,16309115,0
"394",63,505,0.97025,"Don't Be a Menace to South Central While Drinking Your Juice in the Hood",20109115,3800000,16309115,0
"395",63,770,0.9925,"Don't Be a Menace to South Central While Drinking Your Juice in the Hood",20109115,3800000,16309115,0
"396",63,958,0.996,"Don't Be a Menace to South Central While Drinking Your Juice in the Hood",20109115,3800000,16309115,0
"397",65,332,0.93575,"Bio-Dome",26757000,1.5e+07,11757000,0
"398",65,333,0.927,"Bio-Dome",26757000,1.5e+07,11757000,0
"399",65,455,0.95875,"Bio-Dome",26757000,1.5e+07,11757000,0
"400",65,533,0.94575,"Bio-Dome",26757000,1.5e+07,11757000,0
"401",65,978,0.97625,"Bio-Dome",26757000,1.5e+07,11757000,0
"402",65,980,0.95725,"Bio-Dome",26757000,1.5e+07,11757000,0
"403",66,1087,0.967,"Lawnmower Man 2: Beyond Cyberspace",2409225,1.5e+07,-12590775,0
"407",69,207,0.91275,"Friday",27467564,3500000,23967564,0
"408",69,230,0.9785,"Friday",27467564,3500000,23967564,0
"409",69,416,0.91025,"Friday",27467564,3500000,23967564,0
"410",69,417,0.93775,"Friday",27467564,3500000,23967564,0
"411",69,628,0.91875,"Friday",27467564,3500000,23967564,0
"412",69,1103,0.96125,"Friday",27467564,3500000,23967564,0
"413",70,19,0.924,"From Dusk Till Dawn",25753840,1.9e+07,6753840,0
"414",70,146,0.974,"From Dusk Till Dawn",25753840,1.9e+07,6753840,0
"415",70,255,0.90075,"From Dusk Till Dawn",25753840,1.9e+07,6753840,0
"416",70,275,0.9805,"From Dusk Till Dawn",25753840,1.9e+07,6753840,0
"417",70,276,0.92225,"From Dusk Till Dawn",25753840,1.9e+07,6753840,0
"418",70,456,0.9035,"From Dusk Till Dawn",25753840,1.9e+07,6753840,0
"419",70,458,0.94175,"From Dusk Till Dawn",25753840,1.9e+07,6753840,0
"420",70,463,0.9655,"From Dusk Till Dawn",25753840,1.9e+07,6753840,0
"421",70,522,0.92425,"From Dusk Till Dawn",25753840,1.9e+07,6753840,0
"422",70,956,0.99725,"From Dusk Till Dawn",25753840,1.9e+07,6753840,0
"423",70,1009,0.92425,"From Dusk Till Dawn",25753840,1.9e+07,6753840,0
"424",70,1067,0.97825,"From Dusk Till Dawn",25753840,1.9e+07,6753840,0
"425",70,1069,0.99675,"From Dusk Till Dawn",25753840,1.9e+07,6753840,0
"426",70,1084,0.9645,"From Dusk Till Dawn",25753840,1.9e+07,6753840,0
"427",70,1085,0.94125,"From Dusk Till Dawn",25753840,1.9e+07,6753840,0
"428",71,195,0.93775,"Fair Game",11534477,5e+07,-38465523,0
"429",71,720,1,"Fair Game",11534477,5e+07,-38465523,0
"430",72,227,0.93175,"Kicking and Screaming",704543,0,704543,0
"433",74,201,0.9875,"Bed of Roses",19030691,0,19030691,0
"434",74,614,0.98575,"Bed of Roses",19030691,0,19030691,0
"435",74,863,0.9755,"Bed of Roses",19030691,0,19030691,0
"436",74,864,0.9895,"Bed of Roses",19030691,0,19030691,0
"437",74,865,0.98275,"Bed of Roses",19030691,0,19030691,0
"454",81,81,0.905,"Things to Do in Denver When You're Dead",529766,7e+06,-6470234,0
"455",81,268,0.94275,"Things to Do in Denver When You're Dead",529766,7e+06,-6470234,0
"456",81,269,0.99925,"Things to Do in Denver When You're Dead",529766,7e+06,-6470234,0
"457",81,423,0.978,"Things to Do in Denver When You're Dead",529766,7e+06,-6470234,0
"458",81,424,0.98575,"Things to Do in Denver When You're Dead",529766,7e+06,-6470234,0
"459",81,510,0.97325,"Things to Do in Denver When You're Dead",529766,7e+06,-6470234,0
"460",81,512,0.944,"Things to Do in Denver When You're Dead",529766,7e+06,-6470234,0
"461",81,658,0.93,"Things to Do in Denver When You're Dead",529766,7e+06,-6470234,0
"462",81,741,0.99575,"Things to Do in Denver When You're Dead",529766,7e+06,-6470234,0
"463",81,981,0.9515,"Things to Do in Denver When You're Dead",529766,7e+06,-6470234,0
"468",85,625,0.928,"Angels and Insects",5304000,0,5304000,0
"469",85,774,0.91925,"Angels and Insects",5304000,0,5304000,0
"470",85,897,0.92675,"Angels and Insects",5304000,0,5304000,0
"471",86,235,0.9745,"White Squall",10300000,3.8e+07,-27700000,0
"472",86,646,0.9135,"White Squall",10300000,3.8e+07,-27700000,0
"473",87,589,0.96575,"Dunston Checks In",9871065,0,9871065,0
"474",87,922,0.97,"Dunston Checks In",9871065,0,9871065,0
"475",88,230,0.98325,"Black Sheep",32377000,0,32377000,0
"476",88,417,0.95,"Black Sheep",32377000,0,32377000,0
"477",88,879,0.95825,"Black Sheep",32377000,0,32377000,0
"478",89,251,0.98925,"Nick of Time",8169363,3.3e+07,-24830637,0
"479",89,525,0.9215,"Nick of Time",8169363,3.3e+07,-24830637,0
"480",89,999,0.954,"Nick of Time",8169363,3.3e+07,-24830637,0
"481",92,564,0.98075,"Mary Reilly",5600000,4.7e+07,-41400000,0
"482",93,1067,0.9985,"Vampire in Brooklyn",19751736,2e+07,-248264,0
"483",93,1069,0.999,"Vampire in Brooklyn",19751736,2e+07,-248264,0
"484",94,846,0.909,"Beautiful Girls",10597759,0,10597759,0
"485",95,19,0.9905,"Broken Arrow",70770147,5e+07,20770147,0
"486",95,20,0.9815,"Broken Arrow",70770147,5e+07,20770147,0
"487",95,369,0.90725,"Broken Arrow",70770147,5e+07,20770147,0
"488",95,447,0.98075,"Broken Arrow",70770147,5e+07,20770147,0
"489",95,481,0.964,"Broken Arrow",70770147,5e+07,20770147,0
"498",100,251,0.90075,"City Hall",20200000,4e+07,-19800000,0
"499",100,258,0.972,"City Hall",20200000,4e+07,-19800000,0
"500",100,798,0.97075,"City Hall",20200000,4e+07,-19800000,0
"501",100,799,0.99025,"City Hall",20200000,4e+07,-19800000,0
"502",100,800,0.9705,"City Hall",20200000,4e+07,-19800000,0
"503",100,1119,0.986,"City Hall",20200000,4e+07,-19800000,0
"504",101,268,0.9055,"Bottle Rocket",560069,7e+06,-6439931,0
"505",101,269,0.9025,"Bottle Rocket",560069,7e+06,-6439931,0
"506",101,498,0.972,"Bottle Rocket",560069,7e+06,-6439931,0
"507",101,529,0.94975,"Bottle Rocket",560069,7e+06,-6439931,0
"508",101,735,0.94925,"Bottle Rocket",560069,7e+06,-6439931,0
"509",101,829,0.9575,"Bottle Rocket",560069,7e+06,-6439931,0
"510",103,683,0.92375,"Unforgettable",2780278,1.8e+07,-15219722,0
"511",104,230,0.9825,"Happy Gilmore",38624000,1.2e+07,26624000,0
"512",104,416,0.9235,"Happy Gilmore",38624000,1.2e+07,26624000,0
"513",104,444,0.99575,"Happy Gilmore",38624000,1.2e+07,26624000,0
"514",104,455,0.96125,"Happy Gilmore",38624000,1.2e+07,26624000,0
"515",104,505,0.93975,"Happy Gilmore",38624000,1.2e+07,26624000,0
"516",104,959,0.968,"Happy Gilmore",38624000,1.2e+07,26624000,0
"524",107,681,0.99075,"Muppet Treasure Island",33609000,0,33609000,0
"525",107,1043,0.94375,"Muppet Treasure Island",33609000,0,33609000,0
"526",107,1044,0.954,"Muppet Treasure Island",33609000,0,33609000,0
"527",110,19,0.909,"Braveheart",75600000,7.2e+07,3600000,0
"528",110,121,0.90525,"Braveheart",75600000,7.2e+07,3600000,0
"529",110,128,0.918,"Braveheart",75600000,7.2e+07,3600000,0
"530",110,260,0.9785,"Braveheart",75600000,7.2e+07,3600000,0
"531",110,323,0.90075,"Braveheart",75600000,7.2e+07,3600000,0
"532",110,324,0.937,"Braveheart",75600000,7.2e+07,3600000,0
"533",110,350,0.93775,"Braveheart",75600000,7.2e+07,3600000,0
"534",110,359,0.97875,"Braveheart",75600000,7.2e+07,3600000,0
"535",110,370,0.95975,"Braveheart",75600000,7.2e+07,3600000,0
"536",110,410,0.95175,"Braveheart",75600000,7.2e+07,3600000,0
"537",110,465,0.9495,"Braveheart",75600000,7.2e+07,3600000,0
"538",110,469,0.946,"Braveheart",75600000,7.2e+07,3600000,0
"539",110,508,0.9905,"Braveheart",75600000,7.2e+07,3600000,0
"540",110,509,0.98625,"Braveheart",75600000,7.2e+07,3600000,0
"541",110,536,0.96625,"Braveheart",75600000,7.2e+07,3600000,0
"542",110,634,0.90425,"Braveheart",75600000,7.2e+07,3600000,0
"543",110,638,0.95625,"Braveheart",75600000,7.2e+07,3600000,0
"544",110,745,0.92325,"Braveheart",75600000,7.2e+07,3600000,0
"545",110,749,0.9385,"Braveheart",75600000,7.2e+07,3600000,0
"546",110,750,0.9835,"Braveheart",75600000,7.2e+07,3600000,0
"547",110,756,0.981,"Braveheart",75600000,7.2e+07,3600000,0
"548",110,761,0.93525,"Braveheart",75600000,7.2e+07,3600000,0
"549",110,843,0.90225,"Braveheart",75600000,7.2e+07,3600000,0
"550",110,892,0.958,"Braveheart",75600000,7.2e+07,3600000,0
"551",110,971,0.90525,"Braveheart",75600000,7.2e+07,3600000,0
"552",110,1065,0.96925,"Braveheart",75600000,7.2e+07,3600000,0
"553",110,1084,0.926,"Braveheart",75600000,7.2e+07,3600000,0
"554",110,1085,0.90025,"Braveheart",75600000,7.2e+07,3600000,0
"591",118,865,0.971,"If Lucy Fell",4635344,5e+06,-364656,0
"592",120,87,0.955,"Race the Sun",1945552,0,1945552,0
"610",132,874,0.90775,"Jade",9795017,5e+07,-40204983,0
"611",132,905,0.98075,"Jade",9795017,5e+07,-40204983,0
"612",132,907,0.91275,"Jade",9795017,5e+07,-40204983,0
"613",132,911,0.906,"Jade",9795017,5e+07,-40204983,0
"614",135,230,0.90975,"Down Periscope",25785603,3.1e+07,-5214397,0
"615",135,983,0.93525,"Down Periscope",25785603,3.1e+07,-5214397,0
"617",137,425,0.96575,"Man of the Year",37442180,2e+07,17442180,0
"632",145,19,0.98525,"Bad Boys",65807024,1.9e+07,46807024,0
"633",145,20,0.97875,"Bad Boys",65807024,1.9e+07,46807024,0
"634",145,170,0.9755,"Bad Boys",65807024,1.9e+07,46807024,0
"635",145,183,0.92325,"Bad Boys",65807024,1.9e+07,46807024,0
"636",145,195,0.91025,"Bad Boys",65807024,1.9e+07,46807024,0
"637",145,230,0.9535,"Bad Boys",65807024,1.9e+07,46807024,0
"638",145,447,0.9915,"Bad Boys",65807024,1.9e+07,46807024,0
"639",145,481,0.94725,"Bad Boys",65807024,1.9e+07,46807024,0
"650",149,57,0.93125,"Amateur",856422,2300000,-1443578,0
"651",149,291,0.9245,"Amateur",856422,2300000,-1443578,0
"652",149,510,0.9395,"Amateur",856422,2300000,-1443578,0
"653",149,829,0.95275,"Amateur",856422,2300000,-1443578,0
"654",150,84,0.9995,"Apollo 13",173837933,5.2e+07,121837933,0
